Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,01/01/2006 12:00:00 AM,Atlantic Canada,Canada,5400
Air,01/01/2006 12:00:00 AM,Quebec,Canada,3400
Air,01/01/2006 12:00:00 AM,Ontario,Canada,16600
Air,01/01/2006 12:00:00 AM,Western Canada,Canada,7000
Air,01/01/2006 12:00:00 AM,New England (inc Maine),United States,800
Air,01/01/2006 12:00:00 AM,Middle Atlantic,United States,1200
Air,01/01/2006 12:00:00 AM,East North Central,United States,300
Air,01/01/2006 12:00:00 AM,West North Central,United States,300
Air,01/01/2006 12:00:00 AM,South Atlantic,United States,1400
Air,01/01/2006 12:00:00 AM,East South Central,United States,200
Air,01/01/2006 12:00:00 AM,West South Central,United States,500
Air,01/01/2006 12:00:00 AM,Mountain,United States,500
Air,01/01/2006 12:00:00 AM,Pacific,United States,400
Air,01/01/2006 12:00:00 AM,United Kingdom,Overseas,1400
Air,01/01/2006 12:00:00 AM,Germany,Overseas,600
Air,01/01/2006 12:00:00 AM,Other Europe,Overseas,1200
Air,01/01/2006 12:00:00 AM,Other Overseas,Overseas,1500
Road,01/01/2006 12:00:00 AM,Atlantic Canada,Canada,69900
Road,01/01/2006 12:00:00 AM,Quebec,Canada,400
Road,01/01/2006 12:00:00 AM,Ontario,Canada,1700
Road,01/01/2006 12:00:00 AM,Western Canada,Canada,100
Road,01/01/2006 12:00:00 AM,Maine (by road only),United States,200
Road,01/01/2006 12:00:00 AM,Other New England,United States,300
Road,01/01/2006 12:00:00 AM,Middle Atlantic,United States,100
Road,01/01/2006 12:00:00 AM,East North Central,United States,0
Road,01/01/2006 12:00:00 AM,West North Central,United States,0
Road,01/01/2006 12:00:00 AM,South Atlantic,United States,100
Road,01/01/2006 12:00:00 AM,East South Central,United States,0
Road,01/01/2006 12:00:00 AM,West South Central,United States,0
Road,01/01/2006 12:00:00 AM,Mountain,United States,0
Road,01/01/2006 12:00:00 AM,Pacific,United States,0
Road,01/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,02/01/2006 12:00:00 AM,Atlantic Canada,Canada,7200
Air,02/01/2006 12:00:00 AM,Quebec,Canada,2900
Air,02/01/2006 12:00:00 AM,Ontario,Canada,9000
Air,02/01/2006 12:00:00 AM,Western Canada,Canada,2600
Air,02/01/2006 12:00:00 AM,New England (inc Maine),United States,500
Air,02/01/2006 12:00:00 AM,Middle Atlantic,United States,600
Air,02/01/2006 12:00:00 AM,East North Central,United States,400
Air,02/01/2006 12:00:00 AM,West North Central,United States,0
Air,02/01/2006 12:00:00 AM,South Atlantic,United States,700
Air,02/01/2006 12:00:00 AM,East South Central,United States,100
Air,02/01/2006 12:00:00 AM,West South Central,United States,300
Air,02/01/2006 12:00:00 AM,Mountain,United States,100
Air,02/01/2006 12:00:00 AM,Pacific,United States,300
Air,02/01/2006 12:00:00 AM,United Kingdom,Overseas,800
Air,02/01/2006 12:00:00 AM,Germany,Overseas,200
Air,02/01/2006 12:00:00 AM,Other Europe,Overseas,400
Air,02/01/2006 12:00:00 AM,Other Overseas,Overseas,900
Road,02/01/2006 12:00:00 AM,Atlantic Canada,Canada,66100
Road,02/01/2006 12:00:00 AM,Quebec,Canada,600
Road,02/01/2006 12:00:00 AM,Ontario,Canada,2000
Road,02/01/2006 12:00:00 AM,Western Canada,Canada,100
Road,02/01/2006 12:00:00 AM,Maine (by road only),United States,300
Road,02/01/2006 12:00:00 AM,Other New England,United States,500
Road,02/01/2006 12:00:00 AM,Middle Atlantic,United States,100
Road,02/01/2006 12:00:00 AM,East North Central,United States,0
Road,02/01/2006 12:00:00 AM,West North Central,United States,0
Road,02/01/2006 12:00:00 AM,South Atlantic,United States,100
Road,02/01/2006 12:00:00 AM,East South Central,United States,0
Road,02/01/2006 12:00:00 AM,West South Central,United States,0
Road,02/01/2006 12:00:00 AM,Mountain,United States,0
Road,02/01/2006 12:00:00 AM,Pacific,United States,0
Road,02/01/2006 12:00:00 AM,Overseas,Overseas,0
Air,03/01/2006 12:00:00 AM,Atlantic Canada,Canada,8600
Air,03/01/2006 12:00:00 AM,Quebec,Canada,3000
Air,03/01/2006 12:00:00 AM,Ontario,Canada,10500
Air,03/01/2006 12:00:00 AM,Western Canada,Canada,3700
Air,03/01/2006 12:00:00 AM,New England (inc Maine),United States,200
Air,03/01/2006 12:00:00 AM,Middle Atlantic,United States,600
Air,03/01/2006 12:00:00 AM,East North Central,United States,200
Air,03/01/2006 12:00:00 AM,West North Central,United States,100
Air,03/01/2006 12:00:00 AM,South Atlantic,United States,700
Air,03/01/2006 12:00:00 AM,East South Central,United States,0
Air,03/01/2006 12:00:00 AM,West South Central,United States,400
Air,03/01/2006 12:00:00 AM,Mountain,United States,400
Air,03/01/2006 12:00:00 AM,Pacific,United States,700
Air,03/01/2006 12:00:00 AM,United Kingdom,Overseas,1300
Air,03/01/2006 12:00:00 AM,Germany,Overseas,100
Air,03/01/2006 12:00:00 AM,Other Europe,Overseas,600
Air,03/01/2006 12:00:00 AM,Other Overseas,Overseas,800
Road,03/01/2006 12:00:00 AM,Atlantic Canada,Canada,84500
Road,03/01/2006 12:00:00 AM,Quebec,Canada,600
Road,03/01/2006 12:00:00 AM,Ontario,Canada,4700
Road,03/01/2006 12:00:00 AM,Western Canada,Canada,200
Road,03/01/2006 12:00:00 AM,Maine (by road only),United States,400
Road,03/01/2006 12:00:00 AM,Other New England,United States,600
Road,03/01/2006 12:00:00 AM,Middle Atlantic,United States,300
Road,03/01/2006 12:00:00 AM,East North Central,United States,0
Road,03/01/2006 12:00:00 AM,West North Central,United States,0
Road,03/01/2006 12:00:00 AM,South Atlantic,United States,100
Road,03/01/2006 12:00:00 AM,East South Central,United States,0
Road,03/01/2006 12:00:00 AM,West South Central,United States,0
Road,03/01/2006 12:00:00 AM,Mountain,United States,0
Road,03/01/2006 12:00:00 AM,Pacific,United States,0
